model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,restore_mode,n_coords,removed_energy_A_mean,restored_energy_A_mean
gemma-2-2b-it,dev,massive,unedited,60,60,116,0.6817138671875,0.5207668050130209,0.8742106119791664,0.0,0.0,0.0,0.4482758620689655,0.33326271186440676,0.5690576186265837,-0.0,-0.0,-0.0,116,0.44295902053243597,-0.0,-0.0,-0.0,,,0.0,0.17608022689819336,none,0,,
gemma-2-2b-it,dev,massive,erased,60,60,116,0.49404296875,0.3717431640625,0.6374959309895831,-0.1876708984375,-0.3073244222005208,-0.07610982259114586,0.5948275862068966,0.48717948717948717,0.7094017094017094,-0.14655172413793102,-0.23275862068965517,-0.06895078101974654,116,0.5652887295684055,-0.12232970903596946,-0.18332311131691234,-0.0677347647555934,0.01439776441572098,0.015371492108993837,1.0,0.2369386394818624,none,0,,
gemma-2-2b-it,dev,massive,restore_massive,60,60,116,0.51932373046875,0.39031524658203126,0.6736100260416666,-0.16239013671875,-0.27973836263020835,-0.045262349446614614,0.5948275862068966,0.48685887988209287,0.7094017094017094,-0.14655172413793102,-0.23478260869565218,-0.06837606837606838,116,0.5714464299436925,-0.12848740941125664,-0.19109462906665137,-0.07056546719425016,0.011512631479431833,0.012452458326301515,1.0,0.30448710123697914,massive,5,0.018716249914793447,0.007205611733100011
gemma-2-2b-it,dev,massive,erase_massive_only,60,60,116,0.6286783854166667,0.47479248046875,0.8036914062499999,-0.05303548177083333,-0.15978495279947919,0.0484431966145833,0.5172413793103449,0.40166666666666667,0.6379915305505139,-0.06896551724137931,-0.14044380017841163,-0.0,116,0.5192296900833935,-0.07627066955095749,-0.1315664006605632,-0.03125906176954659,0.0186637975025545,0.014668252039992885,1.0,0.3049429178237915,complement,5,0.050399697546880375,0.03173967127140839
gemma-2-2b-it,dev,massive,restore_all,60,60,116,0.687603759765625,0.5366586303710937,0.8661697387695311,0.005889892578125,-0.04435516357421875,0.05475936889648433,0.4396551724137931,0.3220338983050847,0.5641304347826085,0.008620689655172414,-0.0,0.02608695652173913,116,0.44094077676656335,0.0020182437658725918,-0.002866067803002087,0.007334081183053204,1.1805404055661336e-06,1.3614420951497503e-06,1.0,0.30093093315760294,all,2304,0.14247014976383526,0.14247014976383526
gemma-2-2b-it,dev,massive,restore_random_1,60,60,116,0.4769795735677083,0.3606768290201823,0.6125264485677083,-0.20473429361979167,-0.31666142781575524,-0.09949925740559906,0.5862068965517241,0.4782608695652174,0.7034137803979366,-0.13793103448275862,-0.2222222222222222,-0.05982905982905983,116,0.5656294525982072,-0.12267043206577129,-0.18483518314101596,-0.06724599994615468,0.01420139471115068,0.015285891023132913,1.0,0.3074557900428772,random,5,0.014206385754088618,8.023838653993107e-06
gemma-2-2b-it,dev,massive,restore_equal_energy_1,60,60,116,0.51015625,0.38755859375,0.6552815755208333,-0.1715576171875,-0.2916241455078125,-0.056538899739583356,0.5775862068965517,0.46956521739130436,0.6923076923076923,-0.12931034482758622,-0.21367521367521367,-0.05217391304347826,116,0.5710594359431937,-0.12810041541075795,-0.1949873866121412,-0.07057321138523617,0.0186516603852516,0.018684754066359367,1.0,0.32742790778477987,equal_energy,5,0.013662964944949134,0.005249436501819393
gemma-2-2b-it,dev,massive,restore_random_2,60,60,116,0.4998779296875,0.37754211425781253,0.6490991210937499,-0.1818359375,-0.3009132893880208,-0.07756998697916685,0.5775862068965517,0.46956521739130436,0.6923076923076923,-0.12931034482758622,-0.21367521367521367,-0.05217391304347826,116,0.564257635710172,-0.12129861517773609,-0.18200035243828536,-0.0671497338284791,0.014335834619173633,0.015355661622390188,1.0,0.3039833903312683,random,5,0.01434130472287575,6.644139847476767e-06
gemma-2-2b-it,dev,massive,restore_equal_energy_2,60,60,116,0.5087076822916666,0.38791463216145833,0.6576595052083329,-0.17300618489583333,-0.29600443522135417,-0.056559244791666755,0.5775862068965517,0.46956521739130436,0.6949152542372882,-0.12931034482758622,-0.21242152635957928,-0.05982905982905983,116,0.5614517098809131,-0.11849268934847726,-0.1794603776963688,-0.0641823525976492,0.01775214959323111,0.01879677336866199,1.0,0.32336840629577634,equal_energy,5,0.013070304395262779,0.004999072095364762
gemma-2-2b-it,dev,massive,restore_random_3,60,60,116,0.4861979166666667,0.3705244954427083,0.6215332031249998,-0.19551595052083334,-0.32168741861979167,-0.08111633300781251,0.5689655172413793,0.45689655172413796,0.6869565217391305,-0.1206896551724138,-0.19827586206896552,-0.05128205128205128,116,0.5641756952037518,-0.12121667467131574,-0.1829110934921634,-0.06681472895804712,0.014340701884573254,0.015352477431494531,1.0,0.30389556487401326,random,5,0.014348221644845756,8.69282845568358e-06
